student_id,system,task,condition,dataset_rows,input_format,input_mb,run_number,time_seconds,status,os,cpu_model,cpu_base_ghz,cpu_physical_cores,cpu_logical_processors,ram_gb,storage_size_gb,storage_type,gpu_model,gpu_clock_mhz,gpu_memory_gb,python_version,tool_version
2023341,mapreduce,task1,aggregation,1000000,csv,101.67,1,7.104,OK,Linux Mint 22.3,11th Gen Intel(R) Core(TM) i3-1115G4,3.00,2,4,8,64,Other (Live USB),Integrated,NA,NA,3.12.3,0.7.4
2023341,mapreduce,task1,aggregation,1000000,csv,101.67,2,7.486,OK,Linux Mint 22.3,11th Gen Intel(R) Core(TM) i3-1115G4,3.00,2,4,8,64,Other (Live USB),Integrated,NA,NA,3.12.3,0.7.4
2023341,mapreduce,task1,aggregation,1000000,csv,101.67,3,7.071,OK,Linux Mint 22.3,11th Gen Intel(R) Core(TM) i3-1115G4,3.00,2,4,8,64,Other (Live USB),Integrated,NA,NA,3.12.3,0.7.4
2023341,spark,task1,aggregation,1000000,csv,101.67,1,0.1307,OK,Linux Mint 22.3,11th Gen Intel(R) Core(TM) i3-1115G4,3.00,2,4,8,64,Other (Live USB),Integrated,NA,NA,3.12.3,4.2.0
2023341,spark,task1,aggregation,1000000,csv,101.67,2,0.1061,OK,Linux Mint 22.3,11th Gen Intel(R) Core(TM) i3-1115G4,3.00,2,4,8,64,Other (Live USB),Integrated,NA,NA,3.12.3,4.2.0
2023341,spark,task1,aggregation,1000000,csv,101.67,3,0.1079,OK,Linux Mint 22.3,11th Gen Intel(R) Core(TM) i3-1115G4,3.00,2,4,8,64,Other (Live USB),Integrated,NA,NA,3.12.3,4.2.0
2023341,duckdb,task1,aggregation,1000000,csv,101.67,1,0.2428,OK,Linux Mint 22.3,11th Gen Intel(R) Core(TM) i3-1115G4,3.00,2,4,8,64,Other (Live USB),Integrated,NA,NA,3.12.3,1.5.5
2023341,duckdb,task1,aggregation,1000000,csv,101.67,2,0.2184,OK,Linux Mint 22.3,11th Gen Intel(R) Core(TM) i3-1115G4,3.00,2,4,8,64,Other (Live USB),Integrated,NA,NA,3.12.3,1.5.5
2023341,duckdb,task1,aggregation,1000000,csv,101.67,3,0.2205,OK,Linux Mint 22.3,11th Gen Intel(R) Core(TM) i3-1115G4,3.00,2,4,8,64,Other (Live USB),Integrated,NA,NA,3.12.3,1.5.5
2023341,spark,task2,query_a,2000000,parquet,40.08,1,0.7301,OK,Linux Mint 22.3,11th Gen Intel(R) Core(TM) i3-1115G4,3.00,2,4,8,64,Other (Live USB),Integrated,NA,NA,3.12.3,4.2.0
2023341,spark,task2,query_a,2000000,parquet,40.08,2,0.5396,OK,Linux Mint 22.3,11th Gen Intel(R) Core(TM) i3-1115G4,3.00,2,4,8,64,Other (Live USB),Integrated,NA,NA,3.12.3,4.2.0
2023341,spark,task2,query_a,2000000,parquet,40.08,3,0.4997,OK,Linux Mint 22.3,11th Gen Intel(R) Core(TM) i3-1115G4,3.00,2,4,8,64,Other (Live USB),Integrated,NA,NA,3.12.3,4.2.0
2023341,spark,task2,query_b,2000000,parquet,40.08,1,0.3999,OK,Linux Mint 22.3,11th Gen Intel(R) Core(TM) i3-1115G4,3.00,2,4,8,64,Other (Live USB),Integrated,NA,NA,3.12.3,4.2.0
2023341,spark,task2,query_b,2000000,parquet,40.08,2,0.3833,OK,Linux Mint 22.3,11th Gen Intel(R) Core(TM) i3-1115G4,3.00,2,4,8,64,Other (Live USB),Integrated,NA,NA,3.12.3,4.2.0
2023341,spark,task2,query_b,2000000,parquet,40.08,3,0.3830,OK,Linux Mint 22.3,11th Gen Intel(R) Core(TM) i3-1115G4,3.00,2,4,8,64,Other (Live USB),Integrated,NA,NA,3.12.3,4.2.0
2023341,duckdb,task2,query_a,2000000,parquet,40.08,1,0.1200,OK,Linux Mint 22.3,11th Gen Intel(R) Core(TM) i3-1115G4,3.00,2,4,8,64,Other (Live USB),Integrated,NA,NA,3.12.3,1.5.5
2023341,duckdb,task2,query_a,2000000,parquet,40.08,2,0.1125,OK,Linux Mint 22.3,11th Gen Intel(R) Core(TM) i3-1115G4,3.00,2,4,8,64,Other (Live USB),Integrated,NA,NA,3.12.3,1.5.5
2023341,duckdb,task2,query_a,2000000,parquet,40.08,3,0.1257,OK,Linux Mint 22.3,11th Gen Intel(R) Core(TM) i3-1115G4,3.00,2,4,8,64,Other (Live USB),Integrated,NA,NA,3.12.3,1.5.5
2023341,duckdb,task2,query_b,2000000,parquet,40.08,1,0.0508,OK,Linux Mint 22.3,11th Gen Intel(R) Core(TM) i3-1115G4,3.00,2,4,8,64,Other (Live USB),Integrated,NA,NA,3.12.3,1.5.5
2023341,duckdb,task2,query_b,2000000,parquet,40.08,2,0.0512,OK,Linux Mint 22.3,11th Gen Intel(R) Core(TM) i3-1115G4,3.00,2,4,8,64,Other (Live USB),Integrated,NA,NA,3.12.3,1.5.5
